Identifier,name,gal,logP,IRSB,sig_mM0_IRSB,EBV,sig_EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,Wvi,Wjk,DR3Name,RAdeg,DEdeg,Plx,RUWE,QLT
XYCas,XYCas,MW,0.653376,11.165,0.068,0.533,0.02,11.085,9.953,8.736,7.832,7.335,7.212,-4.317,-4.379,Gaia DR3 426881614218441600,12.47192037703,60.12737898732,0.4069,1.18,3
TVul,TVul,MW,0.646934,8.815,0.018,0.06,0.02,6.39,5.753,5.054,4.601,4.27,4.205,-4.846,-4.882,Gaia DR3 1857884212378132096,312.86767706102,28.25048193691,1.6885,1.2,1
YLac,YLac,MW,0.635863,12.057,0.031,0.217,0.02,9.874,9.144,8.277,7.706,7.316,7.225,-5.125,-5.163,Gaia DR3 1977074811892425600,332.26206158309,51.04584489597,0.4085,1.053,2
XSct,XSct,MW,0.62305,12.098,0.188,0.589,0.02,11.138,10.011,8.62,7.479,6.951,6.826,-5.636,-5.721,Gaia DR3 4104857784196182400,277.83228317708,-13.10818493797,0.596,0.799,3
SYCas,SYCas,MW,0.609712,11.586,0.059,0.442,0.02,10.85,9.873,8.752,7.909,7.448,7.343,-4.573,-4.632,Gaia DR3 422923956470923008,3.79086871838,58.42428046193,0.4018,1.039,3
BFOph,BFOph,MW,0.609329,9.11,0.022,0.235,0.02,8.2,7.337,6.366,5.701,5.285,5.178,-4.251,-4.292,Gaia DR3 4111834567779557376,256.52291020043,-26.58056513078,1.1538,0.837,2
STTau,STTau,MW,0.605768,10.249,0.029,0.368,0.02,9.066,8.219,7.138,6.352,5.898,5.788,-4.788,-4.849,Gaia DR3 3346584610911570176,86.26316893008,13.57635184119,0.8812,1.351,3
TYMon,TYMon,MW,0.604502,13.06,0.085,0.545,0.02,12.062,11.743,11.043,9.405,8.866,8.723,-3.102,-4.807,Gaia DR3 3113680251125330304,104.16581674911,0.19004033275,0.2515,1.037,3
YAur,YAur,MW,0.586529,11.682,0.139,0.375,0.02,10.512,9.614,8.571,7.743,7.284,7.167,-4.728,-4.911,Gaia DR3 195373217573454464,82.16349483157,42.43772581388,0.5061,1.122,3
ADGem,ADGem,MW,0.578408,12.514,0.054,0.173,0.02,10.547,9.855,9.039,8.527,8.147,8.077,-4.74,-4.746,Gaia DR3 3378049163365268608,100.78129641785,20.93910595532,0.3356,0.969,3
QZNor,QZNor,MW,0.578244,10.811,0.056,0.263,0.02,9.756,8.869,7.865,7.136,6.733,6.619,-4.503,-4.547,Gaia DR3 5932565900081831040,242.83526242559,-54.35413510061,0.4591,1.032,3
SZTau,SZTau,MW,0.498166,8.814,0.022,0.295,0.02,7.365,6.526,5.517,4.827,4.414,4.314,-4.861,-4.853,Gaia DR3 3409635486731094400,69.31155292631,18.54301200791,1.5741,0.966,2
EVSct,EVSct,MW,0.490098,11.401,0.095,0.655,0.02,11.29,10.144,8.623,7.664,7.171,7.028,-5.138,-4.81,Gaia DR3 4156512638614879104,279.16500634512,-8.18483389548,0.4892,1.009,3
V0465Mon,V0465Mon,MW,0.433514,10.549,0.077,0.244,0.02,10.965,10.372,9.474,8.835,8.436,8.365,-2.468,-2.507,Gaia DR3 3111232222844668800,107.03879622929,-0.06571183676,0.1924,1.236,3
