,name,logP,EBV,d_BVVI_g,d_VVVI_g,d_IVVI_g,d_JVVI_g,d_HVVI_g,d_KVVI_g,d_BVVI_i,d_VVVI_i,d_IVVI_i,d_JVVI_i,d_HVVI_i,d_KVVI_i
38,V0600Aql,0.859672,0.859672,0.1546250099481417,0.15164234032194301,0.09219854291574087,0.20704755849344464,0.21727048982909453,0.24331440360216933,0.21220389540177415,0.2006966611804466,0.12202356999771075,0.25480774718026933,0.2728220598168455,0.29956280952075165
39,V0459Cyg,0.860413,0.860413,0.2241483895234005,0.206410290934191,0.125497456887988,0.18264613263927698,0.15502365026001397,0.1765452192742328,0.2739030605621765,0.24859708752965753,0.15114702921803136,0.22455398351015537,0.20514730832585648,0.22845146310803663
40,CKSct,0.870124,0.870124,0.4171614072036608,0.26229314129343084,0.15947422990640625,0.11421380359539776,0.07500270503856951,0.10764486223074561,0.43699858926375423,0.2784942581855051,0.1693245089767874,0.13287869320590062,0.10149346948745475,0.13846782466222352
41,V1344Aql,0.873787,0.873787,0.16230788314616396,0.029634784741468037,0.018017949122812335,-0.008947989071219242,-0.0031926741966723515,0.014514616851010742,0.10891938141394797,-0.014605441687557619,-0.008880108546035714,-0.05716566256856881,-0.06778362116517678,-0.05800397934505086
42,RSOri,0.878917,0.878917,-0.15115485724703842,-0.07682885153857694,-0.04671194173545449,0.005585853735170183,0.0256946656400317,0.043829134765744064,-0.16883719895033178,-0.09162644107398504,-0.055708876172983146,-0.00992494256701043,0.005828569225022895,0.02218704157659057
43,BKAur,0.903222,0.903222,-0.19973382735523115,-0.15748777578844197,-0.09575256767937218,-0.04049507250754386,-0.011045731172430018,0.013597483655618914,-0.22687924195484221,-0.18102190818199004,-0.11006132017464909,-0.061722828828075116,-0.032949270021455535,-0.006248943800310269
44,GHLup,0.967448,0.967448,0.2955001149683536,0.15500276712911915,0.09424168241450477,0.0525046747054158,0.021293281970375503,-0.0029599514422097113,0.2875633256183788,0.14835976159590525,0.09020273505031036,0.04554590754525896,0.012387332735633139,-0.012656926236824989
45,FNAql,0.976878,0.976878,0.1224354203161392,0.12814614129974294,0.0779128539102437,0.15447788766993473,0.15101068457295141,0.16301038223555553,0.14481377249044924,0.1468059047135471,0.08925799006583718,0.174322068581519,0.17686479552494933,0.19150847792601472
46,YZSgr,0.980171,0.980171,0.04258987586818547,0.02463353923122341,0.014977191852584046,0.04385681359374867,0.05635319787569297,0.06719388113980711,0.03352882865088552,0.016846226971465122,0.010242505998651091,0.03655512169709044,0.0483236544663381,0.05945123725345505
47,SNor,0.989194,0.989194,0.03740963064582481,-0.0030745589815778865,-0.0018693318607993364,-0.03335374916211589,-0.0423997854734559,-0.06478719997754885,0.0314068985918777,-0.0082204590601829,-0.004998039108591409,-0.03823208878364519,-0.04785600055911615,-0.0701295101348342
48,DDCas,0.991759,0.991759,0.11545553949977852,0.09131098555926148,0.05551707922003163,0.13004516258749368,0.11913118470947534,0.14549017470919987,0.07894363946415511,0.060291472524534734,0.03665721529491808,0.09948508721882965,0.08299217465176126,0.10840129751675642
49,BZCyg,1.006127,1.006127,-0.02721389072992019,-0.022465606622127692,-0.013659088826254162,-0.06431631360882993,-0.09682212299210524,-0.09536643104894306,-0.04411293194147975,-0.03655296776867356,-0.022224204403354375,-0.07931300010194908,-0.11638356482148021,-0.11694545220650276
50,SYAur,1.006262,1.006262,-0.3398563116732674,-0.20425592281363814,-0.12418760107069182,-0.009131443284504381,0.05597733072511857,0.081819912543176,-0.41606668366087884,-0.26880352993539824,-0.16343254620072264,-0.07354674568680668,-0.021543537777742677,0.0011537787200258023
51,YSct,1.014575,1.014575,0.1619171282614186,0.09861363868506716,0.059957092320520974,0.049524012840362994,0.018131742419435187,0.019658901895643927,0.18009132639920827,0.11401112895797276,0.06931876640644784,0.0648709783452305,0.036570517806403205,0.03882105703630212
52,TWNor,1.032868,1.032868,0.34678751000935826,0.3330158650893749,0.20247364597434042,0.06739323782167456,0.0419886652126677,0.023241220536489027,0.4267782089891707,0.4007188779189426,0.2436370777747168,0.1351504939021769,0.1238428177209904,0.10866824793757314
53,ZLac,1.036854,1.036854,-0.02546937883687088,-0.005860099522378093,-0.0035629405096062328,0.05774446589469208,0.05397894177074579,0.05028334755688421,-0.006668894268254108,0.010028836010658737,0.006097532294480797,0.07374408288029544,0.0734648554063428,0.07074673897122621
54,XXCen,1.039548,1.039548,-0.1727800832058258,-0.13826179958503435,-0.08406317414770154,-0.059679812294986846,-0.037192519787498254,-0.048764440942543175,-0.16161786649835985,-0.12900400420756908,-0.0784344345582022,-0.04962479315026774,-0.023774974646912306,-0.0337377473683379
55,TYSct,1.043507,1.043507,-0.11199415088138882,-0.08226591515063104,-0.05001767641158414,-0.04948602334624151,-0.03785002246158331,0.0027686710472797776,-0.07390860963324597,-0.050234842567953686,-0.03054278428131557,-0.016580169632817,0.0032678889614367046,0.04678169170772861
56,V340Nor,1.052579,1.052579,0.06979099838629339,-0.00994587898700334,-0.006047094424098131,-0.07888073398235736,-0.1159798514711707,-0.13979277302225404,0.08894794370802184,0.006025289961199609,0.003663376296409504,-0.061885302639205664,-0.09382135218026688,-0.11535634770552855
57,AAGem,1.053181,1.053181,0.028710403502544113,-0.007148452145982587,-0.004346258904757705,-0.0017442666226725745,-0.016872701417333158,0.013635655178284412,-0.06826322657560685,-0.08959566210453968,-0.05447416255956006,-0.08271711950993743,-0.11221385816236146,-0.08387090748241183
58,RXAur,1.065337,1.065337,-0.15399410206035746,-0.10254687719790168,-0.062348501336323275,-0.05080693684457041,-0.022656199411091066,0.004463515003164026,-0.18347178048417878,-0.12779949951773784,-0.07770209570678405,-0.07481806874916297,-0.04963308555168344,-0.0220558711063365
59,UUMus,1.065819,1.065819,0.019482846403612142,0.03131387503029534,0.019038836018419603,-0.010261881178286192,-0.005385550994432053,-0.024739699431652273,-0.001614055503602052,0.012962774806300148,0.007881367082231305,-0.02656740963425064,-0.021769034652588615,-0.03916847354420849
60,RYCas,1.084181,1.084181,-0.08467908353857742,-0.0778964658099619,-0.04736105121245615,-0.12940739823950223,-0.1330884769382597,-0.12626391723852304,-0.11108595239313723,-0.10046219391473066,-0.06108101390015541,-0.15109495496241282,-0.15784631070484434,-0.1509409928381935
61,UNor,1.101875,1.101875,-0.09171583404603686,-0.04851590256207222,-0.02949766875774007,-0.08499717412303096,-0.08534613515112505,-0.10122501996374544,-0.03329218194095679,0.0007882811302660775,0.00047927492720151177,-0.03505085534576852,-0.024039016280018755,-0.03646095885645684
62,ZSct,1.110645,1.110645,0.29269280932420716,0.22943573111349091,0.13949692451700219,0.14181937878331313,0.13262887700799403,0.13603714537170725,0.30607896613680075,0.24089126236764197,0.1464618875195253,0.15276098376863773,0.14500535307898343,0.1482759732957615
63,BNPup,1.135867,1.135867,0.02228959126742225,0.02351216418131008,0.0142953958222366,0.056113462961183525,0.06948909382162155,0.06364539632556238,-0.0644513605969762,-0.050021464722198636,-0.030413050551096416,-0.016990851000788135,-0.01803914593764852,-0.02707070864818313
64,TTAql,1.138459,1.138459,0.2604746230924553,0.1892551213663242,0.11506711379072548,0.15691895789754448,0.1387110413677442,0.13387170979386942,0.2905196720910571,0.21470119114356986,0.13053832421529116,0.18231732261474948,0.16928399399463118,0.16569091141755218
65,LSPup,1.150646,1.150646,-0.0597865135559654,-0.051718422561745386,-0.03144480091754104,-0.0040898797469375026,-0.00381070343215964,-0.010982629367000507,-0.11486469794933743,-0.09842129855666,-0.05984014952244937,-0.050474423149750675,-0.05927324655978858,-0.06840506793997042
66,TXCyg,1.167607,1.167607,-0.08845835898072492,-0.029275766138005255,-0.01779966581190734,-0.11795608740974063,-0.1389926494154893,-0.1148428436534938,-0.07055332808467515,-0.014036170910241008,-0.008533991913426492,-0.10305819441132627,-0.12156459625745301,-0.09711269066568455
67,UZSct,1.168739,1.168739,-0.06140347725874193,-0.12486504777229473,-0.07591794904555507,-0.15063765947648025,-0.16281637510849425,-0.10498177294044533,-0.1100046445685676,-0.16593969673204012,-0.10089133561307975,-0.191997880154676,-0.21318805382437375,-0.15787955618089075
68,RWCas,1.170032,1.170032,0.18189758627735428,0.13023674020986198,0.07918393804759577,0.055621745000359366,0.03053646848475905,0.041173356881213444,0.15081555938588254,0.10412713726788797,0.06330929945887553,0.028667942272741553,-0.003349503086757244,0.00474142642728459
69,VWCen,1.177138,1.177138,0.3775193178971901,0.2712957689085997,0.16494782749642878,0.040237351864465365,-0.027411577413714583,-0.06759819791217125,0.33426668338459253,0.23439256316219442,0.14251067840261483,0.004531557061629721,-0.06857209615789933,-0.10896534692450649
70,SZCyg,1.179252,1.179252,0.41453219486907883,0.30890627239602747,0.187815013616784,0.1779243151963654,0.11537580675275483,0.10871015886438644,0.4090914744436065,0.3041888745001,0.18494683569606044,0.17367118758852035,0.11099077824823961,0.10474025622681699
71,SVMon,1.182801,1.182801,0.06516273028007785,0.0373888680795193,0.022732431792347574,0.02346973804330532,0.006895573841321112,0.021626797174613854,0.01236370966648248,-0.007692065746042198,-0.0046767759735935055,-0.020013257432269338,-0.04300531442282751,-0.02833471248677566
72,XCyg,1.214482,1.214482,0.13850351537512823,0.029915733878189396,0.018188766197938133,0.02412107258112181,0.005138916651827141,-0.00957587501943058,0.14929652893602335,0.039134534685791394,0.023793797088960317,0.03299868375786648,0.015302753240792846,0.000579898851760699
73,CDCyg,1.232334,1.232334,-0.0017179709965603404,0.0481182607177652,0.029255902516401033,0.07870335134260806,0.09218233223461017,0.08773752158990004,0.0066182583243987805,0.05520637667597096,0.03356547701899037,0.08566208722169005,0.10037156054652878,0.09610918560838771
74,YOph,1.233609,1.233609,-0.3209545317123713,-0.19339226951156085,-0.11758249986303027,-0.0537063137739795,-0.0011581329993728406,0.003230249856393752,-0.18704504901157207,-0.07995364416864327,-0.048611815654535255,0.059409019719286346,0.13482454671141314,0.14461175688642047
75,SZAql,1.234029,1.234029,0.2429464429684095,0.20539001681934776,0.12487713022616347,0.136638159488887,0.12905005648439566,0.11566938487226715,0.24206655765772234,0.20487124901291454,0.12456171939985294,0.13517846861461602,0.12577366156696423,0.11103120740282507
76,CPCep,1.251989,1.251989,0.5101048446451647,0.34041551220046695,0.2069726314178847,0.10298743821962314,0.02427115457155868,0.0348355619145109,0.4797009036438985,0.314642012423833,0.19130234355369152,0.07735989948260563,-0.006420163108691319,0.003020495082184292
77,VYCar,1.276818,1.276818,0.1486120508940068,0.04871058656655951,0.02961603663246784,0.013591901021176883,0.0046675996387337965,-0.015099850791415459,0.1205671108540145,0.024951181871896815,0.015170318578112607,-0.010092643638377113,-0.023793461809300386,-0.04468154069614392
78,VXCyg,1.303917,1.303917,0.25848812120410547,0.16148728791318084,0.09818427105121397,0.0632985060451994,0.01660811576687178,0.05932721115838735,0.2788342673746627,0.17881891933819946,0.1087219029576249,0.08018226335605258,0.03626169477527383,0.07924027618113455
79,RYSco,1.307927,1.307927,-0.19850157023624382,-0.06820596903213288,-0.04146922917153668,-0.017357457532864322,0.02544610097298182,0.017965697212606005,-0.17700599073202597,-0.050110371485421135,-0.030467105863135557,0.0011603894558471495,0.04847254457590164,0.0425256190600857
80,RZVel,1.309564,1.309564,-0.10004847470320513,-0.07381617368164498,-0.044880233598440136,-0.0700630363939022,-0.05724016648906247,-0.07723148496238369,-0.10056383033866162,-0.07443418696614257,-0.04525598567541428,-0.06992472855677612,-0.05585557642522193,-0.074805727140758
81,WZSgr,1.339443,1.339443,0.36604011403568837,0.26917959548664966,0.16366119405588336,0.08232798461997341,0.029824905456256726,-0.0060027176409613026,0.33460257657336656,0.24260375912629056,0.14750308554878522,0.05559575694089089,-0.00268629856837424,-0.04010808224222469
82,WZCar,1.361977,1.361977,-0.13894084307873666,-0.06839380399582784,-0.04158343282946414,-0.018630379918165296,0.008045896275355624,-0.005165335828845985,-0.22433315652778973,-0.14094369099351517,-0.08569376412405849,-0.09009364648345031,-0.07644372207365996,-0.09185942820909049
83,VZPup,1.364945,1.364945,-0.4623131147432824,-0.30043524740580635,-0.18266463042273062,-0.06323618717748147,-0.002068109619405123,0.006151595117278197,-0.5271763038880428,-0.3554295981927486,-0.21610119570119157,-0.11787895989556556,-0.06744283697110005,-0.06156399722480245
84,SWVel,1.370016,1.370016,-0.15030127843889726,-0.08683538434714377,-0.052795913683064105,-0.03674697919021952,-0.01800373993682053,-0.032006890856177195,-0.18917527423999358,-0.11974952062079011,-0.07280770853744087,-0.06963866984114116,-0.05766001472103454,-0.0733308742895115
85,XPup,1.414321,1.414321,-0.16129133943032503,-0.04963884349024961,-0.030180416842072677,0.06975648879941865,0.0879130935217095,0.08284471992366971,-0.228480976291899,-0.10653953146375586,-0.06477603512996424,0.012944722272927485,0.01949802870818058,0.011617693396913906
86,RYVel,1.449158,1.449158,-0.3010268117881326,-0.21389858332302625,-0.13005033866039983,-0.13641943143706425,-0.0836237121776659,-0.09217094863619052,-0.26614648033015037,-0.18434209765201,-0.11207999537242205,-0.10698186484651201,-0.04829106326902574,-0.055480844731542994
87,KQSco,1.457818,1.457818,0.5236328091685014,0.36345586871416724,0.22098116817821317,0.07227063806685363,0.0248652194458355,0.008632531604990251,0.4617007178690771,0.3113269209756884,0.18928676795321797,0.018894872464114254,-0.04155396852125132,-0.06224739095304316
88,AQPup,1.478624,1.478624,-0.16778919101940928,-0.0958631474861891,-0.05828479367160361,0.003397444644705122,0.004832352166084131,0.002580649837581217,-0.1301379063289847,-0.06371523940273355,-0.03873886555686262,0.03440404182557466,0.04041238376134876,0.03820136264148505
89,KNCen,1.531857,1.531857,-0.3432989997907538,-0.22117564551480223,-0.13447479247300015,-0.2057473328960245,-0.23222135889641024,-0.2568105116822599,-0.3522938696262773,-0.2286240542117431,-0.1390034249607398,-0.21388735030377454,-0.24315791301823578,-0.2691129365290683
90,UCar,1.58897,1.58897,-0.24602333583768066,-0.18883422074227998,-0.11481120621130639,-0.11076362160265496,-0.08792445375769245,-0.09888968160665357,-0.19329107817179397,-0.14427236678259706,-0.08771759900381823,-0.06587472399830557,-0.03322773475552315,-0.041427951733704504
91,RSPup,1.61742,1.61742,-0.08695020243304713,-0.08366348474114625,-0.050867398722616586,-0.018056377308555,-0.006977482934431317,-0.00841972488435308,-0.08591546498160946,-0.08258292361321101,-0.05021041755683264,-0.017827294375591274,-0.00807192407454893,-0.01066645990637366
92,SVVul,1.652569,1.652569,-0.13794807626699768,-0.1555147529852826,-0.09455296981505168,-0.03479787627839115,0.0006298518852280166,0.017973668542873522,-0.02988723268172558,-0.06387065676630688,-0.038833359313914934,0.05615832994965392,0.10928475187972014,0.1303847160374435
93,SVul,1.837426,1.837426,-0.10295893206084977,-0.12532463970943075,-0.07619738094333556,-0.044268653430605986,0.00752498742028368,0.02803635666266935,-0.024749604925882074,-0.05865486861798641,-0.03566216011973611,0.020479545045147707,0.0825668404315838,0.1037944155486914
