,Unnamed: 0,gal,name,overtone,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,gplx,IRSB,EBV,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H],Mb_1,Mv_1,Mi_1,Mj_1,Mh_1,Mk_1,Wvi_1,Wjk_1,Radius_IRSB,Teq,Mass,mu,rd
59,62,MW,RWCas,0,1.170032,10.462,9.233,7.871,6.934,6.367,6.237,9.516718,8.834319,8.018065,12.150423688538693,12.586,0.38,,Gaia DR3 508915489570374272,24.30840720487,57.75921601261,3,1.262,,-3.732,-4.583,-5.461,-6.01,-6.441,-6.495,-6.826,-6.829,98.4,5167.0,7.0,-0.07557631146130817,0.0005232774896136161
60,63,MW,VLac,0,0.697493,9.816,8.921,7.866,7.121,6.671,6.587,9.305993,8.771336,7.997581,11.37247493244264,11.46,0.335,0.5188,Gaia DR3 2003938801532007808,342.15828864485,56.32153324908,3,1.094,-0.2824,-3.062,-3.622,-4.252,-4.655,-4.985,-5.002,-5.23,-5.241,45.7,5858.0,5.3,-0.027525067557361282,-0.0003809258548508887
61,64,MW,SYAur,0,1.006262,10.09,9.07,7.843,7.008,6.524,6.405,9.384711,8.798152,8.009101,11.519353307836806,11.936,0.432,,Gaia DR3 201509768065410944,78.16345237446,42.83178007665,3,1.084,,-3.674,-4.262,-4.941,-5.335,-5.665,-5.698,-5.995,-5.947,63.3,5790.0,4.3,-0.05664669216319318,-0.00012453426982589333
62,65,MW,YSct,0,1.014575,11.194,9.632,7.841,6.578,5.896,5.691,9.911994,8.931744,7.900858,11.143930014246289,11.08,0.757,1.1386,Gaia DR3 4156450099578283776,279.51377343258,-8.36894716336,4,0.944,0.0047,-3.089,-3.892,-4.726,-5.216,-5.626,-5.68,-6.017,-6.0,66.7,5305.0,4.7,-0.05606998575371236,5.295234418800643e-05
63,66,MW,RRLac,0,0.807281,9.753,8.842,7.816,7.058,6.619,6.527,9.21242,8.684987,7.924542,11.674609409067935,10.943,0.319,0.6044,Gaia DR3 2006989121667184384,340.36049512807,56.43277230583,4,1.1,-0.168,-2.54,-3.134,-3.753,-4.186,-4.51,-4.539,-4.718,-4.781,37.1,5813.0,2.5,-0.028390590932064086,-0.0006798879927503165
64,67,MW,BGLac,0,0.726883,9.833,8.881,7.784,7.112,6.658,6.543,9.158546,8.614144,7.907371,11.042322127203755,11.394,0.3,0.4836,Gaia DR3 1960981328902089088,330.10475637179,43.44535204904,2,1.43,-0.3346,-2.831,-3.481,-4.199,-4.565,-4.911,-4.966,-5.311,-5.242,45.6,5717.0,4.8,-0.05167787279624392,0.0007504868788468233
66,69,MW,V0386Cyg,0,0.720788,11.167,9.627,7.742,6.482,5.809,5.587,10.015031,8.998431,7.964559,10.159435638990368,9.744,0.841,1.3702,Gaia DR3 1968971582984827136,318.66846943872,41.716336531,4,0.951,-0.1374,-2.135,-2.835,-3.654,-4.055,-4.426,-4.481,-4.926,-4.774,37.4,5502.0,3.2,-0.044564361009632236,-0.0005422975367624927
68,73,MW,DLCas,0,0.903126,10.121,8.968,7.575,6.651,6.101,5.949,9.289058,8.57736,7.724942,11.049373376975083,11.447,0.488,0.7861,Gaia DR3 428620663657823232,7.49409611203,60.21195729734,4,1.883,-0.2499,-3.391,-4.055,-4.831,-5.256,-5.631,-5.685,-6.034,-5.981,64.9,5515.0,6.2,-0.05762662302491606,0.00074048739671706
70,75,MW,XXSgr,0,0.807815,9.967,8.856,7.469,6.496,5.961,5.824,9.241948,8.539941,7.664947,10.592480841288962,10.648,0.521,,Gaia DR3 4096979650282842112,276.18541940721,-16.79717387453,3,1.1,,-2.885,-3.477,-4.202,-4.644,-4.991,-5.024,-5.33,-5.286,47.3,5628.0,4.1,-0.03551915871103972,-0.0007826615674094151
71,76,MW,CDCyg,0,1.232334,10.217,8.948,7.448,6.463,5.89,5.72,9.376083,8.587173,7.69426,11.831463238585702,11.843,0.493,0.9644,Gaia DR3 2058374144759464064,301.1106612854,34.11224946615,1,1.007,-0.0117,-3.712,-4.489,-5.363,-5.845,-6.242,-6.312,-6.72,-6.634,89.3,5269.0,4.0,-0.07153676141429877,0.0004449510133862078
