ID,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,overtone,BPmag,Gmag,RPmag,plx,IRSB,sig_mM0_IRSB,EBV,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H],Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk
RZCMa,10.698,9.698,8.469,7.629,7.177,7.027,0,9.896969,9.302669,8.542116,10.986010203765472,11.061,0.086,0.443,0.729,Gaia DR3 3027940437469882880,110.38689819352,-16.68721769549,5,1.626,-0.3109,-2.237,-2.794,-3.462,-3.85,-4.143,-4.204,-4.498,-4.448
DDCas,11.076,9.879,8.507,7.627,7.068,6.948,0,10.13101,9.469182,8.650616,12.077054664486077,12.178,0.052,0.45,0.0309,Gaia DR3 2013029941628292352,359.39564965836,62.71824065724,4,1.049,-1.1153,-3.006,-3.751,-4.555,-4.975,-5.373,-5.403,-5.8,-5.697
VZPup,10.793,9.634,8.305,7.373,6.83,6.67,0,10.091524,9.341325,8.493485,12.961635670716461,13.249,0.018,0.455,0.7051,Gaia DR3 5600052040150252800,114.64681824177,-28.49960082926,1,1.237,-0.3459,-4.381,-5.093,-5.837,-6.306,-6.685,-6.754,-7.005,-7.062
RSPup,8.442,7.01,5.489,4.44,3.827,3.647,0,7.594005,6.638235,5.740647,11.05487314490565,11.307,0.037,0.457,,Gaia DR3 5546476927338700416,123.26754647233,-34.57851289632,2,1.157,,-4.798,-5.775,-6.715,-7.298,-7.747,-7.836,-8.177,-8.206
LSPup,11.685,10.448,9.074,8.094,7.518,7.353,0,10.928136,10.147516,9.267422,13.05227817705691,13.296,0.053,0.462,,Gaia DR3 5597327141100381568,119.74673595271,-29.30786248156,2,1.247,,-3.566,-4.342,-5.129,-5.638,-6.048,-6.12,-6.353,-6.452
SVVul,8.7,7.213,5.67,4.668,4.09,3.93,0,7.790675,6.809188,5.891953,11.8154976151152,11.418,0.017,0.462,,Gaia DR3 2027951173435143680,297.87876412857,27.46020619101,3,1.203,,-4.673,-5.7,-6.656,-7.185,-7.598,-7.666,-8.141,-7.997
SWCas,10.808,9.703,8.387,7.5,6.982,6.859,0,10.004331,9.355734,8.538896,11.512722080938333,11.805,0.065,0.467,0.8127,Gaia DR3 2010285491880986112,346.79198165636,58.55419147277,3,1.123,-0.5406,-2.973,-3.61,-4.335,-4.745,-5.096,-5.126,-5.458,-5.388
VXPer,10.492,9.299,7.919,6.98,6.437,6.298,0,9.593902,8.893997,8.042476,11.836746421977784,12.957,0.129,0.475,0.8165,Gaia DR3 506779550797525760,31.95200190538,58.44353350743,5,1.122,-0.2182,-4.475,-5.193,-5.971,-6.425,-6.797,-6.841,-7.178,-7.128
FNAql,9.593,8.389,6.947,6.05,5.495,5.356,0,8.70911,8.005132,7.103401,10.582928469687205,10.148,0.036,0.486,0.7629,Gaia DR3 4269036830424588800,288.19713780418,3.55739781345,2,1.125,-0.1958,-2.611,-3.328,-4.156,-4.556,-4.937,-4.979,-5.438,-5.27
DLCas,10.121,8.968,7.575,6.651,6.101,5.949,0,9.289058,8.57736,7.724942,11.049373376975083,11.447,0.061,0.488,0.7861,Gaia DR3 428620663657823232,7.49409611203,60.21195729734,4,1.883,-0.2499,-3.391,-4.055,-4.831,-5.256,-5.631,-5.685,-6.034,-5.981
AWPer,8.533,7.467,6.19,5.308,4.83,4.715,0,7.769703,7.085648,6.285039,9.74509548902599,10.087,0.068,0.489,0.6817,Gaia DR3 174489098011145216,71.9429804233,36.72278112168,5,1.156,-0.5843,-3.623,-4.199,-4.858,-5.241,-5.543,-5.56,-5.879,-5.78
ZSct,10.927,9.592,8.055,7.055,6.478,6.323,0,10.054388,9.223479,8.362758,12.066442294122076,12.159,0.026,0.492,0.4921,Gaia DR3 4253435825622331392,280.7386394805,-5.82091281592,3,0.903,-0.5432,-3.314,-4.157,-5.07,-5.568,-5.968,-6.025,-6.487,-6.339
CDCyg,10.217,8.948,7.448,6.463,5.89,5.72,0,9.376083,8.587173,7.69426,11.831463238585702,11.843,0.03,0.493,0.9644,Gaia DR3 2058374144759464064,301.1106612854,34.11224946615,1,1.007,-0.0117,-3.712,-4.489,-5.363,-5.845,-6.242,-6.312,-6.72,-6.634
AQPup,10.081,8.705,7.14,6.102,5.483,5.299,0,9.253232,8.315241,7.369619,12.415260552745407,12.544,0.038,0.518,0.6648,Gaia DR3 5597379741549105280,119.59202293226,-29.13008221932,2,1.18,0.3209,-4.655,-5.519,-6.422,-6.93,-7.364,-7.444,-7.832,-7.797
XXSgr,9.967,8.856,7.469,6.496,5.961,5.824,0,9.241948,8.539941,7.664947,10.592480841288962,10.648,0.075,0.521,,Gaia DR3 4096979650282842112,276.18541940721,-16.79717387453,3,1.1,,-2.885,-3.477,-4.202,-4.644,-4.991,-5.024,-5.33,-5.286
